Title,buy_box_availability,rating_numeric,review_count,monthly_demand,current_price,listed_price_clean,is_sponsored_clean,has_coupon,has_bestseller_badge
"Fujifilm Instax Mini Instant Film, 10 Sheets x 5 Packs (Total 50 Shoots)",Add to cart,4.7,3724.0,10000.0,60.5,,Organic,0,1
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",Add to cart,4.6,60696.0,10000.0,198.0,348.0,Organic,0,0
Post-it Super Sticky Easel Pad 25 in x 30 in White 30 Sheets/Pad 2 Pad/Pack Large White Premium Self Stick Flip Chart Paper Super Sticking Power (559),Add to cart,4.8,6853.0,10000.0,43.87,65.99,Organic,0,1
"Avery Insertable Plastic Dividers for 3 Ring Binders, 8 Tabs per Set, Big Tabs, Two Pockets, Multicolor Binder Dividers, Works with Sheet Protectors (11903)",Add to cart,4.8,3875.0,40000.0,4.26,5.84,Organic,0,1
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",Add to cart,3.9,6335.0,500.0,29.99,32.72,Sponsored,1,0
"Samsung 990 EVO Plus SSD 2TB, PCIe Gen 4x4, Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0, (MZ-V9S2T0B/AM)",Add to cart,4.8,5990.0,10000.0,119.99,176.99,Organic,0,0
"Amazon Basics Dog and Puppy Pee Pads with 5-Layer Leak-Proof Design and Quick-Dry Surface for Potty Training, Standard Absorbency, X-Large, 28 x 34 Inch - Pack of 60, Blue & White",Add to cart,4.5,237579.0,20000.0,26.99,,Organic,0,1
"Logitech M510 Wireless Mouse, Mouse for Laptop and PC with USB Unifying Receiver, Programmable Buttons - Graphite",Add to cart,4.6,33246.0,10000.0,25.98,27.99,Organic,0,0
Apple AirPods 2 with Charging Case - White (Renewed),,4.1,16761.0,10000.0,82.0,96.99,Organic,0,1
"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",Add to cart,4.4,71952.0,10000.0,28.33,39.99,Organic,0,0
"Roku Ultra - Ultimate Streaming Player - 4K Streaming Device for TV with HDR10+, Dolby Vision & Atmos - Bluetooth & Wi-Fi 6- Rechargeable Voice Remote Pro with Backlit Buttons - Free & Live TV",Add to cart,4.6,4543.0,10000.0,97.99,,Organic,0,0
"DEWALT Heavy Duty Black Edition 2-in-1 Neckband Bluetooth Headphones w/Built-in Speakers, Jobsite Wearable Speaker & Around Neck, Wireless Headset, 60+ Hrs Hands-Free Music & Calls, Carry Pouch",Add to cart,4.4,1408.0,500.0,99.99,,Sponsored,1,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",Add to cart,4.7,7235.0,500.0,69.95,,Sponsored,0,0
"Monster Open AC601 Wireless Earbuds, Crystal Clear Call, USB-C Charging, Bluetooth 5.4 Open Earphones with ENC, IPX5 Waterproof Wireless Clip-on Earbud, 32H Playtime Earbuds (White)",Add to cart,4.0,1710.0,50.0,29.99,49.99,Sponsored,0,0
"HP 923 Black, Cyan, Magenta, Yellow Ink Cartridges Printers | Works with Printer Series: OfficeJet 8120, OfficeJet Pro 8130 | Eligible for Instant Ink | 6C3Y6LN",Add to cart,4.6,1184.0,10000.0,93.89,,Organic,0,0
Amazon Basics 24 Count AA & AAA High-Performance Alkaline Batteries Value Pack - 12 Double AA Batteries and 12 Triple AAA Batteries,Add to cart,4.7,36633.0,30000.0,10.35,11.87,Organic,0,0
"Scotch Thermal Laminating Pouches, 200 Count, Clear, 3 mil., Ideal Office or School Supplies, Fits Letter Sized Paper (8.9 in. × 11.4 in.)",Add to cart,4.9,28281.0,20000.0,24.99,43.29,Organic,0,0
"Xbox Wireless Gaming Controller (2025) – Carbon Black – Play on Xbox, Windows, Android, iOS, FireTV Sticks, Smart TVs, VR Headsets",,4.6,25104.0,10000.0,54.0,64.99,Organic,0,1
"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",Add to cart,4.1,8639.0,9000.0,119.95,159.95,Organic,0,0
"Scotch TL901X Thermal Laminator, 1 Laminating Machine, Gray, Laminate School Assignments and Documents, for Dorm Room or School Supplies, 9 in.",Add to cart,4.7,59612.0,20000.0,39.99,45.79,Organic,0,0
"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",Add to cart,4.7,35827.0,10000.0,79.99,109.99,Organic,0,1
"BIC Xtra Strong Mechanical Pencils with Erasers, Thick Point (0.9mm), 24-Count, Mechanical Pencils for School or Office Supplies",Add to cart,4.8,23494.0,40000.0,4.47,8.99,Organic,0,0
"TRANSFORMERS Wireless Earbuds Bluetooth 5.4 Open Ear Earbuds Over The Ear Earphones with Ear Hooks,60H Playtime,IPX5 Waterproof,Dual Mic Clear Call,for Running Workout,TF-T07 Sliver-Optimus Prime",Add to cart,4.2,154.0,200.0,23.99,32.99,Sponsored,0,0
"Amazon Basics 2 Slice Toaster, With 6 Browning Settings, Extra Wide Slots For Bagels and Special Breads, Removable Easy-to-Clean Crumb Tray, Cancel/Defrost/Bagel Buttons, 900W, Black & Silver",Add to cart,4.3,37051.0,20000.0,23.74,,Organic,0,0
"SanDisk 128GB Ultra Flair USB 3.0 Flash Drive - SDCZ73-128G-G46, black",Add to cart,4.6,195798.0,10000.0,13.29,,Organic,0,1
"acer KB272 G0bi 27"" IPS Full HD (1920 x 1080) Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | sRGB 99% | Tilt | HDMI & VGA Ports",Add to cart,4.4,1101.0,9000.0,108.99,149.99,Organic,0,0
"TP-Link Deco X55 AX3000 WiFi 6 Mesh System - Covers up to 6500 Sq.Ft, Replaces Wireless Router and Extender, 3 Gigabit Ports per Unit, Supports Ethernet Backhaul, Deco X55(3-Pack)",Add to cart,4.4,15196.0,9000.0,139.99,199.99,Organic,0,0
"Amazon Basics 12-Pack C Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life",Add to cart,4.7,151397.0,30000.0,13.47,,Organic,0,1
"SanDisk 256GB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 150MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAC-256G-GN6MA [New Version]",Add to cart,4.7,219712.0,10000.0,19.99,25.99,Organic,0,0
"EPSON 822 DURABrite Ultra Ink High Capacity Black & Standard Color Cartridge Combo Pack (T822XL-BCS) Works with WorkForce Pro WF-3820, WF-3823, WF-4820, WF-4830, WF-4833, WF-4834",Add to cart,4.6,4889.0,10000.0,87.39,,Organic,0,0
